Estimate summary
Upfront cost,Monthly cost,Total 12 months cost,Currency
0,8900.33,106803.96,USD
,,* Includes upfront cost


Detailed Estimate
Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Status,Configuration summary
My Estimate,US East (N. Virginia),Web Server,Amazon EC2 ,0,348.63599999999997,4183.63,USD,,"Tenancy (Shared Instances), Operating system (Linux), Workload (Consistent, Number of instances: 12), Advance EC2 instance (t3.medium), Pricing strategy ( 1 Year  None upfront), Enable monitoring (disabled), EBS Storage amount (100 GB), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"
My Estimate,US East (N. Virginia),,Amazon EC2 ,0,797.146,9565.75,USD,,"Tenancy (Shared Instances), Operating system (Linux), Workload (Consistent, Number of instances: 14), Advance EC2 instance (a1.xlarge), Pricing strategy (EC2 Instance Savings Plans 1 Year  None upfront), Enable monitoring (disabled), EBS Storage amount (100 GB), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"
My Estimate,US East (N. Virginia),,Amazon Aurora MySQL-Compatible,0,3917.33,47007.96,USD,,"Aurora MySQL Cluster Configuration Option (Aurora Standard), Change records per statement (0.38), Instance Type (db.r5.2xlarge), Nodes (2), Utilization (100 %Utilized/Month), Instance Family (Memory optimized), Pricing Model (OnDemand), Storage amount (20 TB)"
My Estimate,US East (N. Virginia),,Amazon Route 53,0,958.5,11502.00,USD,,"Hosted Zones (2), Basic Checks Within AWS (800), Number of Elastic Network Interfaces (2)"
My Estimate,US East (N. Virginia),,S3 Standard,0,471.04,5652.48,USD,,S3 Standard storage (20 TB per month)
My Estimate,US East (N. Virginia),,AWS Data Transfer,0,1356.8,16281.60,USD,,"DT Inbound: Internet (10 TB per month), DT Outbound: Amazon CloudFront (5 TB per month), DT Outbound: Internet (15 TB per month), DT Intra-Region: (0 TB per month), Data transfer cost (1356.8)"
My Estimate,US East (N. Virginia),,Application Load Balancer,0,524.37,6292.44,USD,,Number of Application Load Balancers (2)
My Estimate,US East (N. Virginia),,Network Address Translation (NAT) Gateway,0,526.5,6318.00,USD,,Number of NAT Gateways (2)



Acknowledgement
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
